"truck_events_text_partition.driverid","truck_events_text_partition.truckid","truck_events_text_partition.eventtime","truck_events_text_partition.eventtype","truck_events_text_partition.longitude","truck_events_text_partition.latitude","truck_events_text_partition.eventkey","truck_events_text_partition.correlationid","truck_events_text_partition.drivername","truck_events_text_partition.routeid","truck_events_text_partition.routename","truck_events_text_partition.date"
"31","98","2014-10-18 18:23:12.166","Normal","-96.68","36.2","31|98|9223370623172983641","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"10","12","2014-10-18 18:23:12.276","Normal","-92.99","37.34","10|12|9223370623172983531","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"27","37","2014-10-18 18:23:12.375","Normal","-90.55","38.81","27|37|9223370623172983432","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"24","20","2014-10-18 18:23:12.536","Normal","-87.66","41.89","24|20|9223370623172983271","-8517864877860548739","Don Hilborn","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"18","107","2014-10-18 18:23:12.616","Normal","-92.94","39.77","18|107|9223370623172983191","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"28","22","2014-10-18 18:23:12.903","Normal","-94.15","39.77","28|22|9223370623172982904","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"20","17","2014-10-18 18:23:13.081","Normal","-88.64","42.21","20|17|9223370623172982726","-8517864877860548739","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"10","12","2014-10-18 18:23:13.126","Normal","-92.89","37.51","10|12|9223370623172982681","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"27","37","2014-10-18 18:23:13.276","Normal","-90.41","38.75","27|37|9223370623172982531","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"14","72","2014-10-18 18:23:13.357","Normal","-94.38","38.67","14|72|9223370623172982450","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"19","97","2014-10-18 18:23:13.34","Normal","-96.44","36.23","19|97|9223370623172982467","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"11","19","2014-10-18 18:23:13.917","Normal","-89.63","39.84","11|19|9223370623172981890","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"32","101","2014-10-18 18:23:13.921","Normal","-93.04","41.71","32|101|9223370623172981886","-8517864877860548739","Ryan Templeton","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"13","65","2014-10-18 18:23:13.947","Normal","-88.64","42.21","13|65|9223370623172981860","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"29","102","2014-10-18 18:23:14.121","Normal","-95.42","35.87","29|102|9223370623172981686","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"19","97","2014-10-18 18:23:14.205","Normal","-96.68","36.2","19|97|9223370623172981602","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"16","43","2014-10-18 18:23:14.576","Normal","-90.0","37.72","16|43|9223370623172981231","-8517864877860548739","Tom McCuch","1961634315","Saint Louis to Memphis","2014-10-19-01"
"28","22","2014-10-18 18:23:14.616","Normal","-93.6","39.77","28|22|9223370623172981191","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"21","110","2014-10-18 18:23:14.715","Normal","-91.74","34.89","21|110|9223370623172981092","-8517864877860548739","Jeff Markham","1594289134","Memphis to Little Rock Route 2","2014-10-19-01"
"31","98","2014-10-18 18:23:14.927","Normal","-95.99","36.17","31|98|9223370623172980880","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"27","37","2014-10-18 18:23:14.957","Normal","-90.21","38.65","27|37|9223370623172980850","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"10","12","2014-10-18 18:23:15.096","Normal","-92.61","37.7","10|12|9223370623172980711","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"17","18","2014-10-18 18:23:15.545","Normal","-91.19","38.83","17|18|9223370623172980262","-8517864877860548739","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"13","65","2014-10-18 18:23:15.676","Normal","-89.03","41.92","13|65|9223370623172980131","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"32","101","2014-10-18 18:23:15.698","Normal","-92.4","41.78","32|101|9223370623172980109","-8517864877860548739","Ryan Templeton","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"15","85","2014-10-18 18:23:15.857","Normal","-90.7","41.62","15|85|9223370623172979950","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"23","79","2014-10-18 18:23:15.957","Normal","-90.7","41.62","23|79|9223370623172979850","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"18","107","2014-10-18 18:23:16.226","Normal","-92.27","39.76","18|107|9223370623172979581","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"11","19","2014-10-18 18:23:16.455","Normal","-88.42","41.11","11|19|9223370623172979352","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"29","102","2014-10-18 18:23:16.518","Normal","-95.99","36.17","29|102|9223370623172979289","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"19","97","2014-10-18 18:23:16.556","Normal","-97.35","36.4","19|97|9223370623172979251","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"27","37","2014-10-18 18:23:16.786","Normal","-90.55","38.81","27|37|9223370623172979021","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"24","20","2014-10-18 18:23:16.825","Normal","-88.96","42.25","24|20|9223370623172978982","-8517864877860548739","Don Hilborn","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"23","79","2014-10-18 18:23:16.939","Normal","-91.05","41.72","23|79|9223370623172978868","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"28","22","2014-10-18 18:23:17.286","Normal","-92.94","39.77","28|22|9223370623172978521","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"29","102","2014-10-18 18:23:17.396","Normal","-96.21","36.19","29|102|9223370623172978411","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"31","98","2014-10-18 18:23:17.667","Normal","-95.42","35.87","31|98|9223370623172978140","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"15","85","2014-10-18 18:23:17.711","Normal","-91.32","41.71","15|85|9223370623172978096","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"27","37","2014-10-18 18:23:17.757","Normal","-90.67","38.82","27|37|9223370623172978050","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"23","79","2014-10-18 18:23:17.796","Normal","-91.32","41.71","23|79|9223370623172978011","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"29","102","2014-10-18 18:23:18.351","Normal","-96.44","36.23","29|102|9223370623172977456","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"26","48","2014-10-18 18:23:18.315","Normal","-94.23","37.09","26|48|9223370623172977492","-8517864877860548739","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-19-01"
"19","97","2014-10-18 18:23:18.33","Normal","-97.37","36.79","19|97|9223370623172977477","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"10","12","2014-10-18 18:23:18.557","Normal","-91.99","37.94","10|12|9223370623172977250","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"30","33","2014-10-18 18:23:18.696","Normal","-88.96","42.25","30|33|9223370623172977111","-8517864877860548739","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"28","22","2014-10-18 18:23:18.966","Normal","-92.57","39.77","28|22|9223370623172976841","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"11","19","2014-10-18 18:23:19.157","Normal","-87.67","41.87","11|19|9223370623172976650","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"32","101","2014-10-18 18:23:19.257","Normal","-91.24","41.67","32|101|9223370623172976550","-8517864877860548739","Ryan Templeton","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"15","85","2014-10-18 18:23:19.343","Normal","-91.63","41.72","15|85|9223370623172976464","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"29","102","2014-10-18 18:23:19.351","Normal","-96.68","36.2","29|102|9223370623172976456","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"27","37","2014-10-18 18:23:19.676","Normal","-90.93","38.82","27|37|9223370623172976131","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"22","26","2014-10-18 18:23:19.896","Normal","-94.59","39.1","22|26|9223370623172975911","-8517864877860548739","Nadeem Asghar","160405074","Joplin to Kansas City Route 2","2014-10-19-01"
"21","110","2014-10-18 18:23:20.066","Normal","-90.04","35.19","21|110|9223370623172975741","-8517864877860548739","Jeff Markham","1594289134","Memphis to Little Rock Route 2","2014-10-19-01"
"15","85","2014-10-18 18:23:20.25","Normal","-91.78","42.23","15|85|9223370623172975557","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"31","98","2014-10-18 18:23:20.417","Normal","-94.88","35.47","31|98|9223370623172975390","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"10","12","2014-10-18 18:23:20.406","Normal","-91.55","38.04","10|12|9223370623172975401","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"23","79","2014-10-18 18:23:20.58","Normal","-91.78","42.23","23|79|9223370623172975227","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"28","22","2014-10-18 18:23:20.696","Normal","-92.27","39.76","28|22|9223370623172975111","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"21","110","2014-10-18 18:23:20.913","Normal","-90.04","35.19","21|110|9223370623172974894","-8517864877860548739","Jeff Markham","1594289134","Memphis to Little Rock Route 2","2014-10-19-01"
"13","65","2014-10-18 18:23:21.027","Normal","-90.82","41.66","13|65|9223370623172974780","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"14","72","2014-10-18 18:23:21.196","Normal","-94.31","37.31","14|72|9223370623172974611","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"27","37","2014-10-18 18:23:21.406","Normal","-91.19","38.83","27|37|9223370623172974401","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"31","98","2014-10-18 18:23:21.397","Normal","-94.57","35.37","31|98|9223370623172974410","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"28","22","2014-10-18 18:23:21.546","Normal","-92.07","39.71","28|22|9223370623172974261","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"25","44","2014-10-18 18:23:21.817","Normal","-89.65","36.37","25|44|9223370623172973990","-8517864877860548739","Jean-Philippe Player","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"13","65","2014-10-18 18:23:21.987","Normal","-91.24","41.67","13|65|9223370623172973820","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"18","107","2014-10-18 18:23:22.065","Normal","-90.79","39.69","18|107|9223370623172973742","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"30","33","2014-10-18 18:23:22.227","Normal","-89.88","41.77","30|33|9223370623172973580","-8517864877860548739","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"11","19","2014-10-18 18:23:22.356","Normal","-89.17","40.38","11|19|9223370623172973451","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"26","48","2014-10-18 18:23:22.766","Normal","-92.99","37.34","26|48|9223370623172973041","-8517864877860548739","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-19-01"
"21","110","2014-10-18 18:23:22.836","Normal","-90.68","35.12","21|110|9223370623172972971","-8517864877860548739","Jeff Markham","1594289134","Memphis to Little Rock Route 2","2014-10-19-01"
"18","107","2014-10-18 18:23:22.957","Normal","-90.63","39.7","18|107|9223370623172972850","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"19","97","2014-10-18 18:23:23.056","Normal","-97.36","37.69","19|97|9223370623172972751","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"11","19","2014-10-18 18:23:23.107","Normal","-89.63","39.84","11|19|9223370623172972700","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"23","79","2014-10-18 18:23:23.166","Normal","-91.47","41.74","23|79|9223370623172972641","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"25","44","2014-10-18 18:23:23.629","Normal","-89.56","37.2","25|44|9223370623172972178","-8517864877860548739","Jean-Philippe Player","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"15","85","2014-10-18 18:23:23.719","Normal","-91.32","41.71","15|85|9223370623172972088","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"18","107","2014-10-18 18:23:23.797","Normal","-90.52","39.71","18|107|9223370623172972010","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"19","97","2014-10-18 18:23:23.857","Normal","-97.36","37.69","19|97|9223370623172971950","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"30","33","2014-10-18 18:23:24.046","Normal","-90.64","41.56","30|33|9223370623172971761","-8517864877860548739","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"22","26","2014-10-18 18:23:24.396","Normal","-94.3","37.66","22|26|9223370623172971411","-8517864877860548739","Nadeem Asghar","160405074","Joplin to Kansas City Route 2","2014-10-19-01"
"13","65","2014-10-18 18:23:24.479","Normal","-92.19","41.74","13|65|9223370623172971328","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"18","107","2014-10-18 18:23:24.548","Normal","-90.37","39.71","18|107|9223370623172971259","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"11","19","2014-10-18 18:23:24.716","Normal","-90.2","38.65","11|19|9223370623172971091","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"14","72","2014-10-18 18:23:24.736","Normal","-94.38","38.67","14|72|9223370623172971071","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"27","37","2014-10-18 18:23:25.077","Normal","-92.03","38.97","27|37|9223370623172970730","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"31","98","2014-10-18 18:23:25.156","Normal","-93.36","35.4","31|98|9223370623172970651","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"20","17","2014-10-18 18:23:25.406","Normal","-93.04","41.71","20|17|9223370623172970401","-8517864877860548739","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"25","44","2014-10-18 18:23:25.417","Normal","-90.0","37.72","25|44|9223370623172970390","-8517864877860548739","Jean-Philippe Player","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"23","79","2014-10-18 18:23:25.806","Normal","-90.7","41.62","23|79|9223370623172970001","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"28","22","2014-10-18 18:23:25.837","Normal","-90.97","39.72","28|22|9223370623172969970","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"32","101","2014-10-18 18:23:26.096","Normal","-88.96","42.25","32|101|9223370623172969711","-8517864877860548739","Ryan Templeton","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"17","18","2014-10-18 18:23:26.266","Normal","-93.45","38.99","17|18|9223370623172969541","-8517864877860548739","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"13","65","2014-10-18 18:23:26.326","Normal","-92.74","41.75","13|65|9223370623172969481","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"29","102","2014-10-18 18:23:26.375","Normal","-97.32","37.27","29|102|9223370623172969432","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"24","20","2014-10-18 18:23:26.48","Normal","-92.19","41.74","24|20|9223370623172969327","-8517864877860548739","Don Hilborn","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"27","37","2014-10-18 18:23:26.726","Normal","-92.38","38.98","27|37|9223370623172969081","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"18","107","2014-10-18 18:23:27.055","Normal","-90.14","39.76","18|107|9223370623172968752","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"15","85","2014-10-18 18:23:27.076","Normal","-90.29","40.96","15|85|9223370623172968731","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"14","72","2014-10-18 18:23:27.249","Normal","-94.59","39.1","14|72|9223370623172968558","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"11","19","2014-10-18 18:23:27.328","Normal","-89.63","39.84","11|19|9223370623172968479","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"27","37","2014-10-18 18:23:27.557","Normal","-92.53","38.98","27|37|9223370623172968250","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"31","98","2014-10-18 18:23:27.836","Normal","-92.53","35.15","31|98|9223370623172967971","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"29","102","2014-10-18 18:23:28.015","Normal","-97.36","37.69","29|102|9223370623172967792","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"20","17","2014-10-18 18:23:28.07","Normal","-93.58","41.62","20|17|9223370623172967737","-8517864877860548739","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"14","72","2014-10-18 18:23:28.186","Normal","-94.38","38.99","14|72|9223370623172967621","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"28","22","2014-10-18 18:23:28.307","Normal","-90.52","39.71","28|22|9223370623172967500","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"22","26","2014-10-18 18:23:28.496","Normal","-94.46","37.16","22|26|9223370623172967311","-8517864877860548739","Nadeem Asghar","160405074","Joplin to Kansas City Route 2","2014-10-19-01"
"30","33","2014-10-18 18:23:28.546","Normal","-92.19","41.74","30|33|9223370623172967261","-8517864877860548739","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"16","43","2014-10-18 18:23:28.836","Normal","-89.71","37.47","16|43|9223370623172966971","-8517864877860548739","Tom McCuch","1961634315","Saint Louis to Memphis","2014-10-19-01"
"20","17","2014-10-18 18:23:28.879","Normal","-93.36","41.69","20|17|9223370623172966928","-8517864877860548739","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"13","65","2014-10-18 18:23:28.949","Normal","-93.58","41.62","13|65|9223370623172966858","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"14","72","2014-10-18 18:23:29.171","Normal","-94.38","38.67","14|72|9223370623172966636","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"10","12","2014-10-18 18:23:29.606","Normal","-90.34","38.58","10|12|9223370623172966201","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"31","98","2014-10-18 18:23:29.667","Normal","-92.25","34.75","31|98|9223370623172966140","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"29","102","2014-10-18 18:23:29.771","Normal","-97.32","37.48","29|102|9223370623172966036","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"24","20","2014-10-18 18:23:29.768","Normal","-93.36","41.69","24|20|9223370623172966039","-8517864877860548739","Don Hilborn","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"14","72","2014-10-18 18:23:30.035","Normal","-94.35","38.33","14|72|9223370623172965772","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"19","97","2014-10-18 18:23:30.066","Normal","-97.35","36.4","19|97|9223370623172965741","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"30","33","2014-10-18 18:23:30.396","Normal","-92.74","41.75","30|33|9223370623172965411","-8517864877860548739","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"15","85","2014-10-18 18:23:30.577","Normal","-89.91","40.86","15|85|9223370623172965230","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"20","17","2014-10-18 18:23:30.647","Normal","-92.74","41.75","20|17|9223370623172965160","-8517864877860548739","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"32","101","2014-10-18 18:23:30.756","Normal","-87.66","41.89","32|101|9223370623172965051","-8517864877860548739","Ryan Templeton","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"27","37","2014-10-18 18:23:30.907","Normal","-93.2","38.98","27|37|9223370623172964900","-8517864877860548739","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-19-01"
"19","97","2014-10-18 18:23:31.056","Normal","-97.14","36.41","19|97|9223370623172964751","-8517864877860548739","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
"29","102","2014-10-18 18:23:31.376","Normal","-97.32","37.15","29|102|9223370623172964431","-8517864877860548739","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-19-01"
"18","107","2014-10-18 18:23:31.546","Normal","-89.78","39.77","18|107|9223370623172964261","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"20","17","2014-10-18 18:23:31.55","Normal","-92.4","41.78","20|17|9223370623172964257","-8517864877860548739","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-19-01"
"13","65","2014-10-18 18:23:31.616","Normal","-93.04","41.71","13|65|9223370623172964191","-8517864877860548739","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"23","79","2014-10-18 18:23:31.837","Normal","-90.29","40.96","23|79|9223370623172963970","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"21","110","2014-10-18 18:23:32.066","Normal","-91.93","34.81","21|110|9223370623172963741","-8517864877860548739","Jeff Markham","1594289134","Memphis to Little Rock Route 2","2014-10-19-01"
"26","48","2014-10-18 18:23:32.267","Normal","-91.3","38.14","26|48|9223370623172963540","-8517864877860548739","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-19-01"
"17","18","2014-10-18 18:23:32.376","Normal","-94.44","39.1","17|18|9223370623172963431","-8517864877860548739","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"16","43","2014-10-18 18:23:32.447","Normal","-90.15","38.62","16|43|9223370623172963360","-8517864877860548739","Tom McCuch","1961634315","Saint Louis to Memphis","2014-10-19-01"
"28","22","2014-10-18 18:23:32.621","Normal","-89.96","39.74","28|22|9223370623172963186","-8517864877860548739","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-19-01"
"23","79","2014-10-18 18:23:32.816","Normal","-90.44","41.54","23|79|9223370623172962991","-8517864877860548739","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-19-01"
"21","110","2014-10-18 18:23:32.936","Normal","-91.74","34.89","21|110|9223370623172962871","-8517864877860548739","Jeff Markham","1594289134","Memphis to Little Rock Route 2","2014-10-19-01"
"11","19","2014-10-18 18:23:33.227","Normal","-88.07","41.48","11|19|9223370623172962580","-8517864877860548739","Jamie Engesser","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"25","44","2014-10-18 18:23:33.466","Normal","-90.24","39.72","25|44|9223370623172962341","-8517864877860548739","Jean-Philippe Player","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"12","86","2014-10-18 18:23:33.526","Normal","-91.38","34.83","12|86|9223370623172962281","-8517864877860548739","Paul Codding","371182829","Memphis to Little Rock","2014-10-19-01"
"24","20","2014-10-18 18:23:33.546","Normal","-93.04","41.71","24|20|9223370623172962261","-8517864877860548739","Don Hilborn","927636994","Des Moines to Chicago.kml","2014-10-19-01"
"10","12","2014-10-18 18:23:33.846","Normal","-91.18","38.22","10|12|9223370623172961961","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"15","85","2014-10-18 18:23:33.976","Normal","-91.05","41.72","15|85|9223370623172961831","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"26","48","2014-10-18 18:23:33.988","Normal","-91.07","38.31","26|48|9223370623172961819","-8517864877860548739","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-19-01"
"18","107","2014-10-18 18:23:34.235","Normal","-90.24","39.72","18|107|9223370623172961572","-8517864877860548739","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-19-01"
"17","18","2014-10-18 18:23:34.296","Normal","-94.16","39.04","17|18|9223370623172961511","-8517864877860548739","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-19-01"
"14","72","2014-10-18 18:23:34.447","Normal","-94.58","37.03","14|72|9223370623172961360","-8517864877860548739","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-19-01"
"10","12","2014-10-18 18:23:34.736","Normal","-91.3","38.14","10|12|9223370623172961071","-8517864877860548739","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-19-01"
"15","85","2014-10-18 18:23:34.796","Normal","-91.32","41.71","15|85|9223370623172961011","-8517864877860548739","Rohit Bakshi","24929475","Peoria to Ceder Rapids","2014-10-19-01"
"31","98","2014-10-18 18:23:34.966","Normal","-93.36","35.4","31|98|9223370623172960841","-8517864877860548739","Rommel Garcia","1962261785","Wichita to Little Rock.kml","2014-10-19-01"
